Date,FaceBook Close Price,Amazon Close Price,Netflix Close Price,Google Close Price
11/14/2012,22.36,222.95,11.3973,325.95
11/15/2012,22.17,220.599,11.6401,323.306
11/16/2012,23.5607,225.23,11.5571,323.266
11/19/2012,22.92,229.71,11.623,333.77
11/20/2012,23.1,233.78,11.77,334.65
11/21/2012,24.32,238.03,11.86,332.6
11/23/2012,23.998,239.88,11.85,333.65
11/26/2012,25.94,243.62,11.72,330.24
11/27/2012,26.15,243.4017,11.87,335.02
11/28/2012,26.36,247.11,11.75,341.49
11/29/2012,27.32,251.27,11.63,345.6
11/30/2012,28,252.05,11.67,348.84
12/3/2012 ,27.04,250.3291,10.8571,347.277
12/4/2012 ,27.46,252.4881,12.3784,345.17
12/5/2012 ,27.71,253.96,11.91,343.5661
12/6/2012 ,26.97,253.37,12.31,345.22
12/7/2012 ,27.485,253.2681,12.28,341.763
12/10/2012,27.84,247.77,12.1,342.37
12/11/2012,27.98,250.69,12.2977,348.09
12/12/2012,27.5801,251.76,12.9614,348.43
12/13/2012,28.24,251.25,13.223,350.999
12/14/2012,26.812,249.19,13.33,350.6306
12/17/2012,26.75,253.86,13.53,360.03
12/18/2012,27.71,260.4,13.663,360.17
12/19/2012,27.41,257.99,13.4255,359.69
12/20/2012,27.36,261.5,13.36,360.8188
12/21/2012,26.26,256.92,13.05,357.457
12/24/2012,26.93,258.62,12.89,354.4
12/26/2012,26.51,248.6314,12.95,354.08
12/27/2012,26.05,248.31,12.93,352.79
12/28/2012,25.9112,245.18,12.76,349.65
12/31/2012,26.6197,250.87,13.23,353.34
1/2/2013 ,28,257.31,13.14,361.26
1/3/2013 ,27.77,258.48,13.7986,361.47
1/4/2013 ,28.76,259.15,13.71,368.616
1/7/2013 ,29.4213,268.4592,14.1715,367.01
1/8/2013 ,29.0607,266.38,13.8795,366.2834
1/9/2013 ,30.59,266.35,13.7,368.69
1/10/2013 ,31.3,265.34,14,370.37
1/11/2013 ,31.72,267.94,14.47,369.625
1/14/2013 ,30.9475,272.73,14.778,361.26
1/15/2013 ,30.1,271.9,14.527,362.1
1/16/2013 ,29.85,268.93,13.93,357.24
1/17/2013 ,30.14,270.48,13.96,355.304
1/18/2013 ,29.66,272.12,14.1671,351.9
1/22/2013 ,30.729,270.19,13.97,351.084
1/23/2013 ,30.82,268.11,14.75,370.38
1/24/2013 ,31.08,273.62,20.98,376.5381
1/25/2013 ,31.54,283.99,24.223,376.46
1/28/2013 ,32.469,276.04,23.16,374.99
1/29/2013 ,30.79,260.35,24.16,376.46
1/30/2013 ,31.24,272.764,23.9571,376.54
1/31/2013 ,30.981,265.5,23.606,377.47
2/1/2013 ,29.73,265,23.54,387.4
2/4/2013 ,28.109,259.98,24.96,379.13
2/5/2013 ,28.64,266.89,24.912,382.487
2/6/2013 ,29.05,262.22,26.344,384.7
2/7/2013 ,28.65,260.23,25.9946,386.588
2/8/2013 ,28.545,261.95,25.8529,392.29
2/11/2013 ,28.26,257.21,25.41,390.82
2/12/2013 ,27.37,258.7,25.42,389.96
2/13/2013 ,27.9075,269.47,26.61,391.04
2/14/2013 ,28.5,269.24,26.7714,393.52
2/15/2013 ,28.32,265.09,27.073,396.05
2/19/2013 ,28.93,269.75,28.0643,403.02
2/20/2013 ,28.462,266.41,26.73,395.834
2/21/2013 ,27.283,265.94,26.74,397.37
2/22/2013 ,27.13,265.42,25.6943,399.46
2/25/2013 ,27.27,259.87,25.62,394.99
2/26/2013 ,27.39,259.36,26.3,394.6699
2/27/2013 ,26.87,263.25,26.331,399.49
2/28/2013 ,27.25,264.27,26.869,400.2
3/1/2013 ,27.78,265.74,27.05,402.69
3/4/2013 ,27.72,273.11,25.8871,410.341
3/5/2013 ,27.52,275.59,25.96,418.8827
3/6/2013 ,27.4525,273.79,26.1343,415.274
3/7/2013 ,28.578,273.88,25.94,415.882
3/8/2013 ,27.96,274.19,26.39,415.3442
3/11/2013 ,28.14,271.24,25.7786,416.99
3/12/2013 ,27.83,274.13,26.0157,413.39
3/13/2013 ,27.08,275.1,27.48,412.24
3/14/2013 ,27.04,265.74,26.91,410.36
3/15/2013 ,26.645,261.82,26.4071,406.744
3/18/2013 ,26.49,257.89,26.513,403.49
3/19/2013 ,26.55,256.41,25.91,405.25
3/20/2013 ,25.86,257.278,26.15,406.947
3/21/2013 ,25.74,253.39,26,405.2244
3/22/2013 ,25.73,257.75,25.9,404.75
3/25/2013 ,25.131,256.02,25.83,404.42
3/26/2013 ,25.205,260.31,27.23,405.8038
3/27/2013 ,26.09,265.3,27.18,400.93
3/28/2013 ,25.58,266.49,27.04,396.697
4/1/2013 ,25.53,261.61,26.06,400.19
4/2/2013 ,25.42,263.322,25.2414,406.11
4/3/2013 ,26.25,259.03,24.249,402.698
4/4/2013 ,27.0725,259.08,23.813,397.14
4/5/2013 ,27.39,255.48,23.52,391.13
4/8/2013 ,26.849,258.95,23.29,387.04
4/9/2013 ,26.59,261.14,24.19,388.44
4/10/2013 ,27.57,264.77,23.72,394.69
4/11/2013 ,28.0175,269.85,24.72,394.8
4/12/2013 ,27.4,272.87,24.743,394.63
4/15/2013 ,26.52,267.72,25.2143,390.57
4/16/2013 ,26.92,272.34,25.12,396.29
4/17/2013 ,26.625,267.4,24.19,390.889
4/18/2013 ,25.69,259.42,23.4,382.574
4/19/2013 ,25.73,260.32,23.3386,399.54
4/22/2013 ,25.97,263.55,24.91,399.657
4/23/2013 ,25.98,268.9,31,403.55
4/24/2013 ,26.11,268.78,30.96,406.32
4/25/2013 ,26.14,274.7,30.54,404.15
4/26/2013 ,26.85,254.81,30.79,400.31
4/29/2013 ,26.98,249.74,30.716,409.12
4/30/2013 ,27.769,253.81,30.87,411.87
5/1/2013 ,27.43,248.23,30.416,409.8
5/2/2013 ,28.97,252.55,30.64,414.39
5/3/2013 ,28.311,258.05,30.49,422.44
5/6/2013 ,27.57,255.72,30.1,430.34
5/7/2013 ,26.889,257.73,29.46,428.1864
5/8/2013 ,27.12,258.68,29.8,436.38
5/9/2013 ,27.04,260.16,30.92,435.3
5/10/2013 ,26.68,263.63,31.0991,439.67
5/13/2013 ,26.82,264.51,32.768,438.3262
5/14/2013 ,27.07,268.33,33.42,443.11
5/15/2013 ,26.6,266.56,34.77,457.4871
5/16/2013 ,26.13,264.12,33.86,451.4831
5/17/2013 ,26.25,269.9,34.14,454.135
5/20/2013 ,25.759,267.63,34.22,453.81
5/21/2013 ,25.66,268.86,33.87,453.03
5/22/2013 ,25.159,262.96,32.6514,444.27
5/23/2013 ,25.06,261.8,32.31,440.95
5/24/2013 ,24.3125,261.74,32.68,436.22
5/28/2013 ,24.1,267.29,30.599,440.19
5/29/2013 ,23.32,265.53,30.7629,433.72
5/30/2013 ,24.55,266.83,31.81,434.94
5/31/2013 ,24.348,269.2,32.3214,435.173
6/3/2013 ,23.848,266.88,31.71,433.3812
6/4/2013 ,23.52,265.7,32.187,429.12
6/5/2013 ,22.899,267.17,31.92,429.42
6/6/2013 ,22.97,267.83,31.11,431.89
6/7/2013 ,23.291,276.87,31.46,439.43
6/10/2013 ,24.33,281.07,31.56,444.6649
6/11/2013 ,24.03,274.78,30.64,439.47
6/12/2013 ,23.77,271.67,29.66,435.55
6/13/2013 ,23.73,275.79,30.77,438.06
6/14/2013 ,23.63,273.99,30.57,437.08
6/17/2013 ,24.022,278.06,32.7471,442.68
6/18/2013 ,24.21,281.76,32.69,449.86
6/19/2013 ,24.309,278.16,33.187,449.89
6/20/2013 ,23.9,273.44,31.93,441.93
6/21/2013 ,24.53,273.36,30.99,440.02
6/24/2013 ,23.935,270.61,30.8,434.46
6/25/2013 ,24.25,272.088,30.41,432.67
6/26/2013 ,24.16,277.57,30.3,436.3882
6/27/2013 ,24.66,277.55,30.71,438.1
6/28/2013 ,24.88,277.69,30.1557,439.745
7/1/2013 ,24.81,282.1,32.04,443.5
7/2/2013 ,24.41,283.73,31.64,440.71
7/3/2013 ,24.52,284.03,31.56,442.77
7/5/2013 ,24.37,285.88,32.16,446.3
7/8/2013 ,24.71,290.59,33.3,452.092
7/9/2013 ,25.48,291.53,35.34,452.17
7/10/2013 ,25.8,292.33,34.83,452.542
7/11/2013 ,25.81,299.66,34.88,459.66
7/12/2013 ,25.91,307.55,36.752,461.04
7/15/2013 ,26.28,306.57,36.85,461.88
7/16/2013 ,26.32,306.87,37.21,459.344
7/17/2013 ,26.65,308.69,38.27,458.82
7/18/2013 ,26.18,304.11,38.06,454.88
7/19/2013 ,25.881,305.23,37.797,447.851
7/22/2013 ,26.045,303.48,37.42,454.89
7/23/2013 ,26.13,301.06,35.7514,451.45
